d,N,seed,eps,H_scale,tol_tr,tol_pi,kl_converged,kl_final_e_tr,kl_gibbs_calls,md_converged,md_final_e_tr,md_gibbs_calls,both_converged,same_limit,dist_pi
3,2,0,0.5,1.0,1e-08,1e-06,True,9.063186761964796e-09,29,True,8.135859617649297e-09,53,True,True,6.362601285732506e-09
3,2,1,0.5,1.0,1e-08,1e-06,True,9.570954830791407e-09,93,True,9.486155175279672e-09,182,True,True,1.7695355964115084e-09
3,2,2,0.5,1.0,1e-08,1e-06,True,5.8271126191333015e-09,22,True,6.499720368333883e-09,43,True,True,4.489918846344255e-09
3,2,3,0.5,1.0,1e-08,1e-06,True,8.46458547652941e-09,22,True,9.15684504546248e-09,31,True,True,2.2026198230218087e-08
3,2,4,0.5,1.0,1e-08,1e-06,True,7.375174704227416e-09,42,True,9.05192632731503e-09,80,True,True,7.252974532865033e-09
3,3,0,0.5,1.0,1e-08,1e-06,True,9.092321994555434e-09,44,True,6.282767388475924e-09,74,True,True,8.61773432070697e-09
3,3,1,0.5,1.0,1e-08,1e-06,True,9.401865531479995e-09,139,True,9.896567338630134e-09,255,True,True,8.742201687716771e-09
3,3,2,0.5,1.0,1e-08,1e-06,True,8.240169502149137e-09,31,True,8.412562871151135e-09,44,True,True,2.299131404856156e-08
3,3,3,0.5,1.0,1e-08,1e-06,True,8.925234909988402e-09,35,True,9.851889852039887e-09,58,True,True,1.3270659786308458e-08
3,3,4,0.5,1.0,1e-08,1e-06,True,9.798191630539385e-09,397,True,9.719125033398111e-09,717,True,True,6.461321167437207e-09
3,4,0,0.5,1.0,1e-08,1e-06,True,8.770290018644586e-09,50,True,7.797681875665454e-09,73,True,True,1.0040921781887642e-08
3,4,1,0.5,1.0,1e-08,1e-06,True,9.656216251787034e-09,193,True,9.835281224327328e-09,332,True,True,1.4679542372957334e-08
3,4,2,0.5,1.0,1e-08,1e-06,True,9.288317806744323e-09,36,True,8.643762524805995e-09,46,True,True,1.4002692678030943e-08
3,4,3,0.5,1.0,1e-08,1e-06,True,9.945759442166641e-09,50,True,9.899297412179133e-09,75,True,True,1.573221055009263e-08
3,4,4,0.5,1.0,1e-08,1e-06,True,9.914574760195986e-09,493,True,9.795257374718888e-09,811,True,True,1.212651801406554e-08
