seed,N,d,eps,eta_inner,M_max,tol_inner,i,hit,hit_iter,hit_gibbs_calls,e0,e_final,gibbs_calls_total
0,3,4,0.5,1.0,200,1e-08,0,True,31,31,0.7122599020095974,9.291363646515903e-09,31
0,3,4,0.5,1.0,200,1e-08,1,True,14,14,0.6278310935517372,5.729658207058737e-09,14
0,3,4,0.5,1.0,200,1e-08,2,True,53,53,0.7108275892956256,9.897734652292001e-09,53
1,3,4,0.5,1.0,200,1e-08,0,True,111,111,0.8304728102410487,9.39836857774867e-09,111
1,3,4,0.5,1.0,200,1e-08,1,True,14,14,0.6318520174747297,6.534494272762163e-09,14
1,3,4,0.5,1.0,200,1e-08,2,True,16,16,0.7697561697713258,3.958845423880441e-09,16
2,3,4,0.5,1.0,200,1e-08,0,True,24,24,0.5734438903829329,6.919961563962392e-09,24
2,3,4,0.5,1.0,200,1e-08,1,True,24,24,0.5658495029878774,6.654292233639775e-09,24
2,3,4,0.5,1.0,200,1e-08,2,True,24,24,0.7816615373993508,5.287859979682332e-09,24
3,3,4,0.5,1.0,200,1e-08,0,True,74,74,0.9733238851209087,8.936159009980243e-09,74
3,3,4,0.5,1.0,200,1e-08,1,True,70,70,0.837725743010736,9.980266948020657e-09,70
3,3,4,0.5,1.0,200,1e-08,2,True,35,35,0.7798916562592846,9.879837610186882e-09,35
4,3,4,0.5,1.0,200,1e-08,0,True,35,35,0.7895250105286765,8.408085826551187e-09,35
4,3,4,0.5,1.0,200,1e-08,1,True,13,13,0.797868646802643,6.2521056984737534e-09,13
4,3,4,0.5,1.0,200,1e-08,2,True,15,15,0.6865019896167495,5.511886940316347e-09,15
5,3,4,0.5,1.0,200,1e-08,0,True,75,75,0.8550854828515309,9.683088670775446e-09,75
5,3,4,0.5,1.0,200,1e-08,1,True,23,23,0.8422977402985625,9.025382077491255e-09,23
5,3,4,0.5,1.0,200,1e-08,2,True,16,16,0.6518213457088248,9.283208456584888e-09,16
6,3,4,0.5,1.0,200,1e-08,0,True,26,26,0.9976963500284707,7.442356685019601e-09,26
6,3,4,0.5,1.0,200,1e-08,1,True,13,13,0.8103811784434345,7.475992027249989e-09,13
6,3,4,0.5,1.0,200,1e-08,2,True,180,180,0.8823846393211212,9.529299689739956e-09,180
7,3,4,0.5,1.0,200,1e-08,0,True,45,45,0.8498361854742889,8.807536073695992e-09,45
7,3,4,0.5,1.0,200,1e-08,1,True,37,37,0.8704893305447996,8.381692816979584e-09,37
7,3,4,0.5,1.0,200,1e-08,2,True,53,53,0.825984682747367,7.839092698419837e-09,53
8,3,4,0.5,1.0,200,1e-08,0,True,38,38,0.8009885541286641,7.059573534373359e-09,38
8,3,4,0.5,1.0,200,1e-08,1,True,15,15,0.8277242810550522,9.435029969844761e-09,15
8,3,4,0.5,1.0,200,1e-08,2,True,19,19,0.756317079221784,7.0158887765011065e-09,19
9,3,4,0.5,1.0,200,1e-08,0,True,50,50,0.8868579084024033,9.388258851991006e-09,50
9,3,4,0.5,1.0,200,1e-08,1,True,26,26,0.7776735446556464,8.744915406835127e-09,26
9,3,4,0.5,1.0,200,1e-08,2,True,27,27,0.9225414585222625,9.246224275495546e-09,27
