N,d,seed,eps,tol_tr,bgda_eta,bgda_converged,bgda_final_e_tr,bgda_gibbs_calls,bgda_time_sec,kl_eta,kl_converged,kl_final_e_tr,kl_gibbs_calls,kl_time_sec,md_eta_inner,md_M_inner,md_converged,md_final_e_tr,md_gibbs_calls,md_time_sec
2,2,0,0.5,1e-08,2.0,True,7.779283690234388e-09,50,0.021266937255859375,0.5,True,4.427350090497395e-09,20,0.008107185363769531,1.0,1,True,6.461186502110649e-09,21,0.00783395767211914
2,2,1,0.5,1e-08,1.0,True,7.826797760689085e-09,44,0.018774747848510742,0.5,True,9.026050653820762e-09,33,0.014686107635498047,1.0,1,True,7.779194161057523e-09,41,0.013380050659179688
2,2,2,0.5,1e-08,1.0,True,6.837601055219737e-09,37,0.015296459197998047,0.5,True,7.811868809235957e-09,31,0.013660192489624023,1.0,1,True,9.283947347029505e-09,36,0.012351274490356445
2,2,3,0.5,1e-08,1.0,True,7.865348659129391e-09,57,0.023411273956298828,0.5,True,8.100010525042712e-09,30,0.041907548904418945,1.0,1,True,9.22357466581498e-09,33,0.03390192985534668
2,2,4,0.5,1e-08,2.0,True,9.439160629034929e-09,98,0.12391138076782227,0.5,True,7.03777790977468e-09,35,0.04611325263977051,1.0,1,True,9.26161340788266e-09,36,0.03650164604187012
2,3,0,0.5,1e-08,1.0,True,9.895233141940797e-09,1244,1.9281136989593506,0.5,True,9.063186761964796e-09,29,0.014633655548095703,1.0,1,True,8.135859617649297e-09,53,0.019397258758544922
2,3,1,0.5,1e-08,1.0,False,0.0004720529373206956,3001,1.3692083358764648,0.5,True,9.570954830791407e-09,93,0.04005861282348633,1.0,1,True,9.486155175279672e-09,182,0.061135292053222656
2,3,2,0.5,1e-08,2.0,True,9.674717518611411e-09,248,0.31658315658569336,0.5,True,5.8271126191333015e-09,22,0.030284881591796875,1.0,1,True,6.499720368333883e-09,43,0.05886507034301758
2,3,3,0.5,1e-08,1.0,True,9.991469456106456e-09,748,1.0649058818817139,0.5,True,8.46458547652941e-09,22,0.029397249221801758,1.0,1,True,9.15684504546248e-09,31,0.033278465270996094
2,3,4,0.5,1e-08,1.0,True,9.953899901091009e-09,2076,2.805867910385132,0.5,True,7.375174704227416e-09,42,0.0673055648803711,1.0,1,True,9.05192632731503e-09,80,0.08832216262817383
2,4,0,0.5,1e-08,2.0,True,9.989634687888621e-09,1311,2.09993839263916,0.5,True,9.296849702325268e-09,34,0.05356860160827637,1.0,1,True,8.35795801315737e-09,65,0.0821535587310791
2,4,1,0.5,1e-08,1.0,False,0.0005451199433617398,3001,4.781306028366089,0.5,True,9.117817641443076e-09,80,0.1704545021057129,1.0,1,True,9.04099157158393e-09,154,0.24834299087524414
2,4,2,0.5,1e-08,2.0,True,9.828766756977843e-09,554,0.8403415679931641,0.5,True,8.225055981781827e-09,28,0.0460665225982666,1.0,1,True,7.372847329883035e-09,54,0.06644344329833984
2,4,3,0.5,1e-08,1.0,False,0.00019151887946831502,3001,5.171045303344727,0.5,True,9.803578220235269e-09,76,0.13166189193725586,1.0,1,True,9.268536593453914e-09,148,0.1947765350341797
2,4,4,0.5,1e-08,2.0,True,9.915402943945241e-09,935,1.5920391082763672,0.5,True,5.58479970984685e-09,25,0.04425382614135742,1.0,1,True,8.158969242542788e-09,46,0.0629737377166748
